user_id,screen_name,is_bot,account_age,is_blue_verified,is_verified,profile_description_sentiment,following_count,followers_count,following_to_followers,is_possibly_sensitive,is_default_profile_image,is_profile_banner,is_profile_image_valid,tweet_freq,parsed_owned_tweets_count,parsed_owned_text_tweets_count,parsed_retweets_count,likes_freq,media_freq,followers_freq,following_freq,replies_to_owned,quotes_to_owned,retweets_to_owned,avg_urls,avg_hashtags,identical_tweet_freq,avg_tweet_sentiment,avg_replies_per_follower,avg_likes_per_follower,avg_retweets_per_follower
1217628182611927040,boazbaraktcs,0,1778,1,0,0.0,459,18538,0.025,0,0,1,0,4.226,52,52,73,1.019,0.398,10.426,0.258,0.0,0.865,1.404,0.25,0.0,0.0,0.215,0.083,1.88,0.121
36741729,Matthew_Brody,1,5690,0,0,0.0,615,456,1.349,0,0,1,0,0.907,0,0,125,0.0,0.019,0.08,0.108,0,0,0,0,0,0.0,0,0,0,0
1679822588,GrianMC,1,4119,0,0,,274,282752,0.001,0,0,1,0,0.339,111,111,14,26.545,0.067,68.646,0.067,0.009,0.162,0.126,0.189,0.027,0.0,0.306,0.152,3.484,0.111
1519144464,NikhilSewdass,0,4183,0,0,0.933,409,191,2.141,0,0,1,0,0.331,4,4,121,0.001,0.005,0.046,0.098,0.0,0.5,30.25,0.0,0.5,0.0,-0.403,1.309,3.927,1.309
15211869,jamie_love,0,6001,1,0,0.0,2616,11106,0.236,0,0,1,0,11.285,86,86,39,0.056,0.527,1.851,0.436,0.0,0.151,0.453,0.442,0.0,0.0,-0.136,0.089,0.353,0.177
2465283662,_akhaliq,1,3868,1,0,0.0,2841,353869,0.008,0,0,1,0,9.681,45,45,80,2.127,4.4,91.486,0.734,0.0,0.0,1.778,0.111,0.0,0.001,0.166,0.012,0.517,0.081
1467973039883182090,_crwkmz_,0,1087,0,0,0.0,2534,2383,1.063,0,0,1,0,0.453,30,30,1,1.604,0.114,2.192,2.331,0.0,0.0,0.033,0.0,0.0,0.0,0.0,3.245,24.395,0.322
35708687,Cubeware,1,5693,0,0,0.957,1870,1302,1.436,0,0,1,0,0.356,125,125,0,0.004,0.12,0.229,0.328,0.0,0.0,0.0,0.912,2.592,0.0,0.23,0.006,0.129,0.018
1290233331683008512,tanishkumar74,0,1577,0,0,0.0,61,1,61.0,0,0,0,0,0.02,24,24,3,0.007,0.004,0.001,0.039,0.0,0.583,0.125,0.0,0.0,0.0,0.025,0.0,458.333,0.0
1438341642,somedevil8498,1,4211,0,0,,535,61,8.77,0,0,1,0,0.011,2,2,15,0.004,0.001,0.014,0.127,0.0,0.0,7.5,0.0,0.5,0.0,0.367,0.0,122.951,24.59
1192861100804575234,KatyJayne101,0,1846,1,0,0.0,32165,37673,0.854,0,0,1,0,18.553,31,31,94,17.79,0.113,20.408,17.424,0.0,0.032,3.032,0.0,0.194,0.0,-0.298,1.719,28.121,5.882
1344562598776250369,dogmother_,1,1427,0,0,0.0,395,597,0.662,0,0,1,0,2.108,85,85,40,0.498,0.113,0.418,0.277,0.0,0.071,0.471,0.0,0.012,0.0,-0.079,1.143,14.011,0.434
2939998182,TylerW13,0,3628,0,0,0.876,259,4829,0.054,0,0,1,0,0.866,34,34,91,4.195,0.015,1.331,0.071,0.0,0.706,2.676,0.0,0.088,0.0,0.526,1.596,92.706,6.353
310784514,BorhadeShubham,1,4925,0,0,,8,12,0.667,0,0,0,0,0.006,1,1,0,0.0,0.001,0.002,0.002,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,83.333,0.0
